plates mjds fibers
6193 56237 611
4495 55566 952
3777 55210 684
6192 56269 885
6806 56419 91
3615 56544 392
4219 55480 809
7087 56637 710
5334 55928 198
5895 56046 242
6783 56284 736
4026 55325 359
5151 56567 744
4392 55833 329
6409 56306 969
4612 55590 640
3939 55633 872
6186 56246 400
4741 55704 916
6413 56336 786
4394 55924 465
5795 56298 639
5415 55982 288
6321 56449 919
6698 56637 101
7255 56597 218
3766 55213 880
5470 56008 805
5424 56033 445
4405 55854 712
5015 55707 63
4804 55679 705
6427 56328 683
6446 56363 82
6461 56329 748
3680 55159 343
6834 56478 357
4089 55470 826
4725 55711 624
5406 55955 466
4574 55621 82
3700 55542 312
6284 56310 112
4039 55648 805
6319 56452 461
5302 55896 479
3833 55290 423
6755 56413 87
4313 55857 513
4203 55447 847
4468 55894 374
5031 56209 500
4751 55646 825
6521 56537 173
7308 56709 369
5295 55978 957
3606 55182 443
3821 55535 202
6054 56089 882
4080 55368 260
5804 56304 422
5485 56063 153
4565 55591 237
7131 56570 156
4405 55854 701
5289 55893 165
6731 56385 919
6751 56368 812
3775 55207 764
4306 55584 86
5165 56063 995
4016 55632 331
4278 55505 959
6505 56560 53
6432 56309 102
6480 56340 67
5856 56090 233
6752 56366 555
6276 56269 709
4090 55500 818
6743 56385 649
6832 56426 378
7238 56660 486
4511 55602 212
4663 55893 969
4609 56251 752
5191 56065 330
4693 55632 648
4706 55705 743
3865 55272 613
3793 55214 715
4424 55532 112
4647 55621 123
5022 55827 711
4895 55708 548
6601 56335 321
4509 55574 564
6395 56354 760
5942 56210 890
6414 56306 260
4490 55629 259
4399 55811 951
6981 56443 212
6115 56237 410
5296 55922 728
5123 55841 384
4417 55829 680
4689 55656 21
5696 55946 150
4264 55506 84
4875 55677 234
4608 55973 214
5107 55940 197
4572 55622 458
5061 55806 813
5286 56225 232
4424 55532 34
6589 56536 409
6152 56164 339
7456 56727 617
4754 55649 983
4021 55620 774
5367 55986 152
4645 55623 138
4234 55478 477
4782 55654 224
7277 56748 317
7116 56681 896
3777 55210 40
7086 56658 109
5355 56009 269
5862 56045 902
4714 56041 301
4039 55648 10
4766 55677 479
4488 55571 295
4444 55538 354
6052 56092 274
6017 56075 795
5473 56033 921
5874 56039 189
6130 56214 7
5350 56009 463
4632 55644 543
6402 56334 157
4054 55358 829
5790 56271 647
5988 56072 753
5470 56008 6
6130 56214 541
6397 56365 654
4235 55451 840
5046 56243 389
4987 55746 772
5700 56245 934
5110 55913 490
5382 55982 536
5767 56245 771
4096 55501 953
6529 56535 744
7259 56603 225
5989 56312 96
3698 55501 900
5893 56034 413
3668 55478 144
4493 55585 605
6049 56091 349
6154 56237 77
5412 55981 207
4057 55357 732
5150 56329 126
5189 56074 377
5189 56074 370
3963 55659 289
7446 56722 855
4454 55536 857
7184 56629 212
5174 56047 301
5007 55710 737
6273 56243 561
4656 55828 675
5883 56033 232
5714 56660 82
6165 56208 995
3782 55244 286
4688 56008 426
6297 56218 909
6872 56540 898
7448 56739 572
4341 55538 842
5324 55947 345
4407 55884 40
7261 56603 138
7155 56629 58
6437 56340 283
5196 55831 943
4743 55645 268
6593 56270 181
6131 56211 988
4731 55656 44
4654 55659 785
3950 55680 744
4309 55528 669
4019 55363 679
6265 56248 568
6132 56267 454
5469 56037 766
5364 56000 116
6670 56389 453
5423 55958 516
3548 55157 732
5289 55893 12
6598 56574 34
7058 56593 685
4697 55660 832
4409 55883 136
4529 55563 492
4301 55810 738
4358 55833 790
5901 56039 745
4554 56193 994
4400 55509 387
4051 55337 5
7128 56567 253
5424 56033 992
5332 55981 199
7151 56598 444
3820 55542 68
5803 56272 970
6429 56274 272
6757 56416 520
6756 56426 486
4716 55738 329
4895 55708 510
4450 55540 87
6006 56105 434
5707 56217 185
5206 56033 119
6047 56098 590
6630 56358 636
4024 55646 956
4384 56105 915
6380 56340 146
6302 56565 484
5887 56035 650
7181 56662 705
3825 55533 974
6511 56540 258
4852 55689 635
6701 56367 649
5401 55949 193
5170 56063 917
6444 56339 641
4407 55884 434
6302 56565 375
6516 56571 844
3693 55208 868
6424 56272 335
3682 55244 796
6649 56364 790
4799 55656 152
7376 56749 445
5062 55803 451
4975 56037 218
3675 55154 870
4215 55471 20
3784 55269 591
4323 55884 464
5987 56339 798
5960 56097 737
7277 56748 219
4275 55501 70
4234 55478 887
4315 55503 127
4561 55614 28
3951 55681 572
5198 55823 545
5005 55751 629
6404 56330 306
4569 55631 141
4387 55534 707
6497 56329 276
4612 55590 850
6278 56266 747
4690 55653 565
4262 55482 820
4469 55863 609
4984 55827 852
